timestamp,temperature,humidity,temp_rate,humi_ratepredicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-15 20:30:59,28.80,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:01,29.00,77.20,0.1000,-0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:03,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:05,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:07,28.40,79.20,-0.3000,1.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:09,28.40,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:11,28.40,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:13,28.60,78.90,0.1000,-0.1500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:15,28.60,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:17,28.40,79.20,-0.1000,0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:19,28.40,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:21,28.40,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:23,28.60,78.80,0.1000,-0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:25,28.60,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:27,28.30,79.30,-0.1499,0.2499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:29,28.30,79.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.31,912
2026-05-15 20:31:31,28.30,79.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:33,28.70,78.60,0.1999,-0.3498,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:35,28.70,78.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:37,28.40,78.70,-0.1499,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:39,28.40,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:41,28.40,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:43,28.70,78.70,0.1500,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:45,28.70,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:47,28.60,79.50,-0.0500,0.3998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:49,28.60,79.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:51,28.60,79.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:53,28.60,78.70,0.0000,-0.4000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:55,28.60,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.18,912
2026-05-15 20:31:57,28.60,79.10,0.0000,0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:31:59,28.60,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:01,28.60,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:03,28.60,79.20,0.0000,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:05,28.60,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:07,28.40,78.80,-0.1000,-0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:09,28.40,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:12,28.40,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:14,28.50,78.80,0.0500,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:16,28.50,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:18,28.40,79.00,-0.0500,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
